time,Total,LocSteric,GloSteric,GIA,Glaciers,Antarctica,Greenland,TWS,Nodal,Wind,Pressure,Obs,Steric,IceSheets,WindPressure
1994,7.958186331186464,-0.14035741582727912,1.3333715438842784,1.2523333333333335,1.0608333333333333,0.1708333333333334,0.07916666666666666,-0.5916666666666667,0.27833720370036424,5.362951730338735,-0.8476167309096345,1.64375,1.1930141280569992,1.3108333333333333,4.5153349994291005
1995,8.300039238169834,1.7683137206427775,1.2369337081909184,1.2891666666666668,1.1266666666666667,0.1941666666666667,0.08416666666666667,-0.5333333333333333,0.13592593828928332,4.244432443987928,-1.2463999062744064,2.09375,3.005247428833696,1.405,2.9980325377135215
1996,-0.6985474071514678,0.5670315371330634,1.5417518615722665,1.3260000000000003,1.1500000000000001,0.2058333333333334,0.08,-0.8466666666666667,0.03966030282748801,-3.1396650286580727,-1.62249274669288,-9.289583333333333,2.10878339870533,1.4358333333333335,-4.7621577753509525
1997,3.9858620341758573,1.6069152448063653,1.5729434967041025,1.3628333333333333,1.2091666666666667,0.2166666666666667,0.08,-0.8541666666666666,0.00040978084000546183,0.8738802304861378,-2.082786718660754,-3.5562500000000004,3.1798587415104675,1.5058333333333336,-1.208906488174616
1998,12.199692442918726,2.9109127499505156,1.5960491180419936,1.3996666666666666,1.2641666666666669,0.23583333333333337,0.085,-0.5066666666666667,0.02260620202437033,6.168388059326008,-0.9762636864241608,4.54375,4.506961867992509,1.5850000000000002,5.192124372901848
1999,12.157090327435318,3.3756973297409707,1.8030511856079114,1.4364999999999999,1.3016666666666667,0.2608333333333333,0.08666666666666667,-0.5516666666666667,0.1037433383458272,4.948024612481434,-0.6074261387408265,3.9770833333333337,5.178748515348882,1.6491666666666667,4.340598473740608
2000,11.371413817726816,3.1510285010666492,1.7596385955810554,1.4733333333333334,1.3266666666666669,0.2808333333333333,0.09166666666666667,-0.755,0.23465988564548848,4.232143901034941,-0.4235570656013172,3.5104166666666665,4.910667096647705,1.6991666666666667,3.8085868354336236
2001,12.406916763584048,5.573583979850746,2.0490658760070812,1.5101666666666667,1.3583333333333334,0.2958333333333334,0.09333333333333334,-0.4941666666666667,0.40057387892410395,2.767999887878632,-1.147806859076514,4.210416666666666,7.622649855857826,1.7475,1.620193028802118
2002,9.991559286616173,3.856868143166606,2.3814177513122567,1.547,1.3933333333333335,0.3058333333333334,0.10083333333333333,-0.30750000000000005,0.5827517440681013,1.1311840488827016,-1.0001624008134926,2.7270833333333333,6.238285894478863,1.8000000000000003,0.13102164806920902
2003,7.686931002018837,3.9535121821131245,2.6537301540374765,1.5838333333333334,1.4441666666666668,0.3316666666666667,0.10916666666666668,-0.4033333333333333,0.7606235311227745,-0.3853712081413356,-2.361063657113203,1.3104166666666668,6.607242336150601,1.8850000000000002,-2.7464348652545385
2004,12.209482358737262,2.9698750480655485,2.6515705585479745,1.6206666666666667,1.5083333333333335,0.3791666666666667,0.11166666666666668,-0.5,0.9141054952534985,3.871587808548956,-1.3174898850120513,4.39375,5.621445606613523,1.9991666666666668,2.554097923536905
2005,9.726094944035854,1.697399727402189,2.724540090560914,1.6575,1.5441666666666667,0.3708333333333334,0.10833333333333334,-0.3466666666666667,1.0258677796270945,3.032496274756559,-2.088375594977569,2.610416666666667,4.4219398179631035,2.0233333333333334,0.9441206797789898
2006,10.122905255765202,1.639680129045769,2.8482337474823005,1.6943333333333335,1.6025,0.34416666666666673,0.11083333333333334,-0.49583333333333335,1.0832911530621472,2.8325358269404286,-1.5368356007654438,2.24375,4.4879138765280695,2.0575,1.2957002261749848
2007,14.69842128743513,2.861718725502295,2.752887201309205,1.7311666666666667,1.6425,0.4008333333333334,0.11583333333333333,-0.5041666666666668,1.0798918645450224,6.33630766546553,-1.7185508360535924,7.59375,5.6146059268115,2.1591666666666667,4.617756829411938
2008,13.095711649031529,3.212301294083622,2.937048435211183,1.768,1.675,0.4808333333333334,0.12833333333333333,-0.5558333333333333,1.0160537323547603,3.4764574216940862,-1.0424825676454577,4.74375,6.149349729294805,2.2841666666666667,2.4339748540486283
2009,10.478221899079502,2.2381740792066935,3.100277566909791,1.8048333333333335,1.7175000000000002,0.4650000000000001,0.14083333333333334,-0.5866666666666667,0.8989848066203802,1.5620508681367573,-0.8627654217941191,1.4770833333333335,5.338451646116484,2.3233333333333333,0.6992854463426382
2010,10.04806945565239,2.5612775226236497,3.055503225326539,1.8416666666666668,1.7825,0.5408333333333334,0.15333333333333335,-0.40750000000000003,0.7419034986000433,0.5190104892174533,-0.740458613448627,0.64375,5.616780747950189,2.4766666666666666,-0.22144812423117366
2011,11.82867002008357,2.55838853063259,3.1694537132978446,1.8785,1.8100000000000003,0.5608333333333334,0.15583333333333335,-0.7916666666666666,0.5625460719295363,3.91595112051075,-1.9911694162871543,4.127083333333334,5.727842243930435,2.526666666666667,1.9247817042235957
2012,11.69620519798498,2.459524206882204,3.33333159685135,1.9153333333333336,1.8125000000000002,0.5858333333333334,0.16833333333333333,-0.4583333333333333,0.3811640170284076,2.7864399541938347,-1.2879212436374823,3.1770833333333335,5.792855803733554,2.566666666666667,1.4985187105563524
