year,locatie.code,locatie.naam
2005,TEXNZE,Texel Noordzee
2006,TEXNZE,Texel Noordzee
2007,TEXNZE,Texel Noordzee
2008,TEXNZE,Texel Noordzee
2009,TEXNZE,Texel Noordzee
2010,TEXNZE,Texel Noordzee
2011,TEXNZE,Texel Noordzee
2012,TEXNZE,Texel Noordzee
2013,TEXNZE,Texel Noordzee
2014,TEXNZE,Texel Noordzee
2015,TEXNZE,Texel Noordzee
2016,TEXNZE,Texel Noordzee
2017,TEXNZE,Texel Noordzee
2018,TEXNZE,Texel Noordzee
2019,TEXNZE,Texel Noordzee
2020,TEXNZE,Texel Noordzee
2021,TEXNZE,Texel Noordzee
2022,TEXNZE,Texel Noordzee
2023,TEXNZE,Texel Noordzee
2024,UHW2,Uithuizerwad 2
2024,VLIE,Vlieland haven
1900,VLIELHVN,Vlieland haven
1901,VLIELHVN,Vlieland haven
1902,VLIELHVN,Vlieland haven
1903,VLIELHVN,Vlieland haven
1904,VLIELHVN,Vlieland haven
1905,VLIELHVN,Vlieland haven
1950,VLIELHVN,Vlieland haven
1951,VLIELHVN,Vlieland haven
1952,VLIELHVN,Vlieland haven
1953,VLIELHVN,Vlieland haven
1954,VLIELHVN,Vlieland haven
1955,VLIELHVN,Vlieland haven
1956,VLIELHVN,Vlieland haven
1957,VLIELHVN,Vlieland haven
1958,VLIELHVN,Vlieland haven
1959,VLIELHVN,Vlieland haven
1960,VLIELHVN,Vlieland haven
1961,VLIELHVN,Vlieland haven
1962,VLIELHVN,Vlieland haven
1963,VLIELHVN,Vlieland haven
1964,VLIELHVN,Vlieland haven
1965,VLIELHVN,Vlieland haven
1966,VLIELHVN,Vlieland haven
1967,VLIELHVN,Vlieland haven
1968,VLIELHVN,Vlieland haven
1969,VLIELHVN,Vlieland haven
1970,VLIELHVN,Vlieland haven
1971,VLIELHVN,Vlieland haven
1972,VLIELHVN,Vlieland haven
1973,VLIELHVN,Vlieland haven
1974,VLIELHVN,Vlieland haven
1975,VLIELHVN,Vlieland haven
1976,VLIELHVN,Vlieland haven
1977,VLIELHVN,Vlieland haven
1978,VLIELHVN,Vlieland haven
1979,VLIELHVN,Vlieland haven
1980,VLIELHVN,Vlieland haven
1981,VLIELHVN,Vlieland haven
1982,VLIELHVN,Vlieland haven
1983,VLIELHVN,Vlieland haven
1984,VLIELHVN,Vlieland haven
1985,VLIELHVN,Vlieland haven
1986,VLIELHVN,Vlieland haven
1987,VLIELHVN,Vlieland haven
1988,VLIELHVN,Vlieland haven
1989,VLIELHVN,Vlieland haven
1990,VLIELHVN,Vlieland haven
1991,VLIELHVN,Vlieland haven
1992,VLIELHVN,Vlieland haven
1993,VLIELHVN,Vlieland haven
1994,VLIELHVN,Vlieland haven
1995,VLIELHVN,Vlieland haven
1996,VLIELHVN,Vlieland haven
1997,VLIELHVN,Vlieland haven
1998,VLIELHVN,Vlieland haven
1999,VLIELHVN,Vlieland haven
2000,VLIELHVN,Vlieland haven
2001,VLIELHVN,Vlieland haven
2002,VLIELHVN,Vlieland haven
2003,VLIELHVN,Vlieland haven
2004,VLIELHVN,Vlieland haven
2005,VLIELHVN,Vlieland haven
2006,VLIELHVN,Vlieland haven
2007,VLIELHVN,Vlieland haven
2008,VLIELHVN,Vlieland haven
2009,VLIELHVN,Vlieland haven
2010,VLIELHVN,Vlieland haven
2011,VLIELHVN,Vlieland haven
2012,VLIELHVN,Vlieland haven
2013,VLIELHVN,Vlieland haven
2014,VLIELHVN,Vlieland haven
2015,VLIELHVN,Vlieland haven
2016,VLIELHVN,Vlieland haven
2017,VLIELHVN,Vlieland haven
2018,VLIELHVN,Vlieland haven
2019,VLIELHVN,Vlieland haven
2020,VLIELHVN,Vlieland haven
2021,VLIELHVN,Vlieland haven
2022,VLIELHVN,Vlieland haven
2023,VLIELHVN,Vlieland haven
2023,VLIS,Vlissingen
2024,VLIS,Vlissingen
1900,VLISSGN,Vlissingen
1901,VLISSGN,Vlissingen
1902,VLISSGN,Vlissingen
1903,VLISSGN,Vlissingen
1904,VLISSGN,Vlissingen
1905,VLISSGN,Vlissingen
1906,VLISSGN,Vlissingen
1907,VLISSGN,Vlissingen
1908,VLISSGN,Vlissingen
1909,VLISSGN,Vlissingen
1910,VLISSGN,Vlissingen
1911,VLISSGN,Vlissingen
1912,VLISSGN,Vlissingen
1913,VLISSGN,Vlissingen
1914,VLISSGN,Vlissingen
1915,VLISSGN,Vlissingen
1916,VLISSGN,Vlissingen
1917,VLISSGN,Vlissingen
1918,VLISSGN,Vlissingen
1919,VLISSGN,Vlissingen
1920,VLISSGN,Vlissingen
1921,VLISSGN,Vlissingen
1922,VLISSGN,Vlissingen
1923,VLISSGN,Vlissingen
1924,VLISSGN,Vlissingen
1925,VLISSGN,Vlissingen
1926,VLISSGN,Vlissingen
1927,VLISSGN,Vlissingen
1928,VLISSGN,Vlissingen
1929,VLISSGN,Vlissingen
1930,VLISSGN,Vlissingen
1931,VLISSGN,Vlissingen
1932,VLISSGN,Vlissingen
1933,VLISSGN,Vlissingen
1934,VLISSGN,Vlissingen
1935,VLISSGN,Vlissingen
1936,VLISSGN,Vlissingen
1937,VLISSGN,Vlissingen
1938,VLISSGN,Vlissingen
1939,VLISSGN,Vlissingen
1940,VLISSGN,Vlissingen
1941,VLISSGN,Vlissingen
1942,VLISSGN,Vlissingen
1943,VLISSGN,Vlissingen
1944,VLISSGN,Vlissingen
1945,VLISSGN,Vlissingen
1946,VLISSGN,Vlissingen
1947,VLISSGN,Vlissingen
1948,VLISSGN,Vlissingen
1949,VLISSGN,Vlissingen
1950,VLISSGN,Vlissingen
1951,VLISSGN,Vlissingen
1952,VLISSGN,Vlissingen
1953,VLISSGN,Vlissingen
1954,VLISSGN,Vlissingen
1955,VLISSGN,Vlissingen
1956,VLISSGN,Vlissingen
1957,VLISSGN,Vlissingen
1958,VLISSGN,Vlissingen
1959,VLISSGN,Vlissingen
1960,VLISSGN,Vlissingen
1961,VLISSGN,Vlissingen
1962,VLISSGN,Vlissingen
1963,VLISSGN,Vlissingen
1964,VLISSGN,Vlissingen
1965,VLISSGN,Vlissingen
1966,VLISSGN,Vlissingen
1967,VLISSGN,Vlissingen
1968,VLISSGN,Vlissingen
1969,VLISSGN,Vlissingen
1970,VLISSGN,Vlissingen
1971,VLISSGN,Vlissingen
1972,VLISSGN,Vlissingen
1973,VLISSGN,Vlissingen
1974,VLISSGN,Vlissingen
1975,VLISSGN,Vlissingen
1976,VLISSGN,Vlissingen
1977,VLISSGN,Vlissingen
1978,VLISSGN,Vlissingen
1979,VLISSGN,Vlissingen
1980,VLISSGN,Vlissingen
1981,VLISSGN,Vlissingen
1982,VLISSGN,Vlissingen
1983,VLISSGN,Vlissingen
1984,VLISSGN,Vlissingen
1985,VLISSGN,Vlissingen
1986,VLISSGN,Vlissingen
1987,VLISSGN,Vlissingen
1988,VLISSGN,Vlissingen
1989,VLISSGN,Vlissingen
1990,VLISSGN,Vlissingen
1991,VLISSGN,Vlissingen
1992,VLISSGN,Vlissingen
1993,VLISSGN,Vlissingen
1994,VLISSGN,Vlissingen
1995,VLISSGN,Vlissingen
1996,VLISSGN,Vlissingen
1997,VLISSGN,Vlissingen
1998,VLISSGN,Vlissingen
1999,VLISSGN,Vlissingen
2000,VLISSGN,Vlissingen
2001,VLISSGN,Vlissingen
2002,VLISSGN,Vlissingen
2003,VLISSGN,Vlissingen
2004,VLISSGN,Vlissingen
2005,VLISSGN,Vlissingen
2006,VLISSGN,Vlissingen
2007,VLISSGN,Vlissingen
2008,VLISSGN,Vlissingen
2009,VLISSGN,Vlissingen
2010,VLISSGN,Vlissingen
2011,VLISSGN,Vlissingen
2012,VLISSGN,Vlissingen
2013,VLISSGN,Vlissingen
2014,VLISSGN,Vlissingen
2015,VLISSGN,Vlissingen
2016,VLISSGN,Vlissingen
2017,VLISSGN,Vlissingen
2018,VLISSGN,Vlissingen
2019,VLISSGN,Vlissingen
2020,VLISSGN,Vlissingen
2021,VLISSGN,Vlissingen
2022,VLISSGN,Vlissingen
2023,VLISSGN,Vlissingen
2024,VR,Vlakte v/d Raan
1924,WESTTSLG,West-Terschelling
1925,WESTTSLG,West-Terschelling
1926,WESTTSLG,West-Terschelling
1927,WESTTSLG,West-Terschelling
1928,WESTTSLG,West-Terschelling
1929,WESTTSLG,West-Terschelling
1950,WESTTSLG,West-Terschelling
1951,WESTTSLG,West-Terschelling
1952,WESTTSLG,West-Terschelling
1953,WESTTSLG,West-Terschelling
1954,WESTTSLG,West-Terschelling
1955,WESTTSLG,West-Terschelling
1956,WESTTSLG,West-Terschelling
1957,WESTTSLG,West-Terschelling
1958,WESTTSLG,West-Terschelling
1959,WESTTSLG,West-Terschelling
1960,WESTTSLG,West-Terschelling
1961,WESTTSLG,West-Terschelling
1962,WESTTSLG,West-Terschelling
1963,WESTTSLG,West-Terschelling
1964,WESTTSLG,West-Terschelling
1965,WESTTSLG,West-Terschelling
1966,WESTTSLG,West-Terschelling
1967,WESTTSLG,West-Terschelling
1968,WESTTSLG,West-Terschelling
1969,WESTTSLG,West-Terschelling
1970,WESTTSLG,West-Terschelling
1971,WESTTSLG,West-Terschelling
1972,WESTTSLG,West-Terschelling
1973,WESTTSLG,West-Terschelling
1974,WESTTSLG,West-Terschelling
1975,WESTTSLG,West-Terschelling
1976,WESTTSLG,West-Terschelling
1977,WESTTSLG,West-Terschelling
1978,WESTTSLG,West-Terschelling
1979,WESTTSLG,West-Terschelling
1980,WESTTSLG,West-Terschelling
1981,WESTTSLG,West-Terschelling
1982,WESTTSLG,West-Terschelling
1983,WESTTSLG,West-Terschelling
1984,WESTTSLG,West-Terschelling
1985,WESTTSLG,West-Terschelling
1986,WESTTSLG,West-Terschelling
1987,WESTTSLG,West-Terschelling
1988,WESTTSLG,West-Terschelling
1989,WESTTSLG,West-Terschelling
1990,WESTTSLG,West-Terschelling
1991,WESTTSLG,West-Terschelling
1992,WESTTSLG,West-Terschelling
1993,WESTTSLG,West-Terschelling
1994,WESTTSLG,West-Terschelling
1995,WESTTSLG,West-Terschelling
1996,WESTTSLG,West-Terschelling
1997,WESTTSLG,West-Terschelling
1998,WESTTSLG,West-Terschelling
1999,WESTTSLG,West-Terschelling
2000,WESTTSLG,West-Terschelling
2001,WESTTSLG,West-Terschelling
2002,WESTTSLG,West-Terschelling
2003,WESTTSLG,West-Terschelling
2004,WESTTSLG,West-Terschelling
2005,WESTTSLG,West-Terschelling
2006,WESTTSLG,West-Terschelling
2007,WESTTSLG,West-Terschelling
2008,WESTTSLG,West-Terschelling
2009,WESTTSLG,West-Terschelling
2010,WESTTSLG,West-Terschelling
2011,WESTTSLG,West-Terschelling
2012,WESTTSLG,West-Terschelling
2013,WESTTSLG,West-Terschelling
2014,WESTTSLG,West-Terschelling
2015,WESTTSLG,West-Terschelling
2016,WESTTSLG,West-Terschelling
2017,WESTTSLG,West-Terschelling
2018,WESTTSLG,West-Terschelling
2019,WESTTSLG,West-Terschelling
2020,WESTTSLG,West-Terschelling
2021,WESTTSLG,West-Terschelling
2022,WESTTSLG,West-Terschelling
2023,WESTTSLG,West-Terschelling
2024,WTER,West-Terschelling
