puntnummer;project_id;project_titel;projectdatum;hoogte;orde;publiek
000A4070;386=073;Vlotterbuis Holwerd 2012;2012-02-02T00:00:00Z;2,91640000000000;2;N
000A4070;384=15;SEC Noord Nederland 2013;2013-04-25T00:00:00Z;2,91640000000000;2;N
000A4070;386=154;CON lauwersmeer 2015 NAM;2015-07-08T00:00:00Z;2,91640000000000;2;N
000A4070;388=04;SEC NOORD NEDERLAND 2018;2018-08-01T00:00:00Z;2,91640000000000;2;N
000A4070;391=55;SEC Noord-Nederland 2024;2023-11-09T00:00:00Z;2,90310000000000;2;J
000A4072;266W00;HOEKSE WAARD;1984-01-01T00:00:00Z;5,95560000000000;2;N
000A4072;317W00;SEC WP ZUID-HOLLAND;1989-11-01T00:00:00Z;5,93080000000000;2;N
000A4072;317=00=NAP;SEC herziening 317w00  zuid holland 1989;1989-11-12T00:00:00Z;5,91830000000000;2;N
000A4072;342=07=NAP;CON westland 1995;1995-10-06T00:00:00Z;5,91830000000000;2;N
000A4072;342W07;Nauwkeurigheidswaterpassing NAM, Rotterdam/Westland 1995;1995-10-06T00:00:00Z;5,93080000000000;2;N
000A4072;371W00;5E PRIMAIRE WATERPASSING;1997-03-20T00:00:00Z;5,93080000000000;1;N
000A4072;371=00=NAP;PRI prim 5 herziening 371w00 - MAART 1997;1997-03-23T00:00:00Z;5,91830000000000;1;N
000A4072;363W00-SEC;riv west deel a   werknr 11354A  1998/1999;1999-03-07T00:00:00Z;5,93080000000000;2;N
000A4072;363=00=NAP;SEC herziening 363w00hsec+363w01-sec rivieren-west A 1999;1999-03-09T00:00:00Z;5,91830000000000;2;N
000A4072;363W00HSEC;herberekening 363w00+363w01 +3 overg + opt traj (gem.rdam.);1999-03-09T00:00:00Z;5,93080000000000;2;N
000A4072;366=00=NAP;SEC herziening 366w00hsec rivieren westB 2000;2000-02-04T00:00:00Z;5,91830000000000;2;N
000A4072;366W00-SEC;Secundaire waterpassing Rivieren west deel B 2000;2000-02-04T00:00:00Z;5,93080000000000;2;N
000A4072;371=04=NAP;hoogten 0A en 0B merken uit scan3 aansluitpunten herziening;2002-01-01T00:00:00Z;5,91830000000000;1;N
