# generated with r-analyse/gtsm/add-gtsm.R
# contains gtsm surge output per year
"...1","t","name","ddl_id","surge"
"124",351,2000-01-01,"Den Helder","DENHDR",0.0736315745027322
"125",358,2001-01-01,"Den Helder","DENHDR",0.0557179970652055
"126",365,2002-01-01,"Den Helder","DENHDR",0.0288847416937534
"127",372,2003-01-01,"Den Helder","DENHDR",0.0146890243189041
"128",379,2004-01-01,"Den Helder","DENHDR",0.062725718010929
"129",386,2005-01-01,"Den Helder","DENHDR",0.0431160818068493
"130",393,2006-01-01,"Den Helder","DENHDR",0.0504213962246575
"131",400,2007-01-01,"Den Helder","DENHDR",0.0736638836136986
"132",407,2008-01-01,"Den Helder","DENHDR",0.0706112474170765
"133",414,2009-01-01,"Den Helder","DENHDR",0.0405474482712329
"134",421,2010-01-01,"Den Helder","DENHDR",0.01944546744
"135",428,2011-01-01,"Den Helder","DENHDR",0.060245878170274
"136",435,2012-01-01,"Den Helder","DENHDR",0.0486651178456284
"137",442,2013-01-01,"Den Helder","DENHDR",0.0200606928284932
"138",449,2014-01-01,"Den Helder","DENHDR",0.0479390145580822
"139",456,2015-01-01,"Den Helder","DENHDR",0.0716218929068493
"140",463,2016-01-01,"Den Helder","DENHDR",0.027178369631694
"141",470,2017-01-01,"Den Helder","DENHDR",0.0696655593594521
"142",477,2018-01-01,"Den Helder","DENHDR",0.00617651140273972
"143",484,2019-01-01,"Den Helder","DENHDR",0.0581902299353425
"144",491,2020-01-01,"Den Helder","DENHDR",0.0600407095343169
"145",498,2021-01-01,"Den Helder","DENHDR",0.0333276965945205
"146",505,2022-01-01,"Den Helder","DENHDR",0.0407118696362188
"147",2,1950-01-01,"Harlingen","HARLGN",0.159779279510656
"148",9,1951-01-01,"Harlingen","HARLGN",0.0707654666933805
"149",16,1952-01-01,"Harlingen","HARLGN",0.0732369672715705
"150",23,1953-01-01,"Harlingen","HARLGN",0.0366538754354984
"151",30,1954-01-01,"Harlingen","HARLGN",0.097490909726882
"152",37,1955-01-01,"Harlingen","HARLGN",0.0644438506359209
"153",44,1956-01-01,"Harlingen","HARLGN",0.0464839736569693
"154",51,1957-01-01,"Harlingen","HARLGN",0.0643290080742477
"155",58,1958-01-01,"Harlingen","HARLGN",0.0620755081307398
"156",65,1959-01-01,"Harlingen","HARLGN",0.0138006412079685
"157",72,1960-01-01,"Harlingen","HARLGN",0.0484759199885967
"158",79,1961-01-01,"Harlingen","HARLGN",0.0907174417621469
"159",86,1962-01-01,"Harlingen","HARLGN",0.0763820684935949
"160",93,1963-01-01,"Harlingen","HARLGN",0.0294161466384077
"161",100,1964-01-01,"Harlingen","HARLGN",0.0284137085712797
"162",107,1965-01-01,"Harlingen","HARLGN",0.0919171606994247
"163",114,1966-01-01,"Harlingen","HARLGN",0.0786510997158411
"164",121,1967-01-01,"Harlingen","HARLGN",0.127654056025235
"165",128,1968-01-01,"Harlingen","HARLGN",0.0473453069227885
"166",135,1969-01-01,"Harlingen","HARLGN",0.0268314386909343
"167",142,1970-01-01,"Harlingen","HARLGN",0.0779145061740116
"168",149,1971-01-01,"Harlingen","HARLGN",0.0369943593769041
"169",156,1972-01-01,"Harlingen","HARLGN",0.0102036157546595
"170",163,1973-01-01,"Harlingen","HARLGN",0.0849198207463304
"171",170,1974-01-01,"Harlingen","HARLGN",0.104178820323352
"172",177,1975-01-01,"Harlingen","HARLGN",0.0418348808237032
"173",184,1976-01-01,"Harlingen","HARLGN",0.0207797050771247
"174",191,1977-01-01,"Harlingen","HARLGN",0.0843428754745281
"175",198,1978-01-01,"Harlingen","HARLGN",0.0589206599515595
"176",205,1979-01-01,"Harlingen","HARLGN",0.0571127180063014
"177",212,1980-01-01,"Harlingen","HARLGN",0.0512036893743169
"178",219,1981-01-01,"Harlingen","HARLGN",0.0900231262054794
"179",226,1982-01-01,"Harlingen","HARLGN",0.0709038379890411
"180",233,1983-01-01,"Harlingen","HARLGN",0.111002275227397
"181",240,1984-01-01,"Harlingen","HARLGN",0.050343694284153
"182",247,1985-01-01,"Harlingen","HARLGN",0.0580346894027397
"183",254,1986-01-01,"Harlingen","HARLGN",0.0687088528438356
"184",261,1987-01-01,"Harlingen","HARLGN",0.0266927691282192
"185",268,1988-01-01,"Harlingen","HARLGN",0.100573259980874
"186",275,1989-01-01,"Harlingen","HARLGN",0.0766161888547945
"187",282,1990-01-01,"Harlingen","HARLGN",0.138464034131507
"188",289,1991-01-01,"Harlingen","HARLGN",0.0459296479561644
"189",296,1992-01-01,"Harlingen","HARLGN",0.0722807438224044
"190",303,1993-01-01,"Harlingen","HARLGN",0.0527707968410959
"191",310,1994-01-01,"Harlingen","HARLGN",0.0961050641706849
"192",317,1995-01-01,"Harlingen","HARLGN",0.0682743952273973
"193",324,1996-01-01,"Harlingen","HARLGN",-0.0293740891385246
"194",331,1997-01-01,"Harlingen","HARLGN",0.0296604674273973
"195",338,1998-01-01,"Harlingen","HARLGN",0.112408622115068
"196",345,1999-01-01,"Harlingen","HARLGN",0.103756618954521
"197",352,2000-01-01,"Harlingen","HARLGN",0.0962245985136612
"198",359,2001-01-01,"Harlingen","HARLGN",0.0697309191123288
"199",366,2002-01-01,"Harlingen","HARLGN",0.0438610520147945
"200",373,2003-01-01,"Harlingen","HARLGN",0.0286761243260274
