station,modeltype,term,estimate,std.error,statistic,p.value,st.err.HAC
Vlissingen,linear,Constant,-63.548,2.244,-28.323,0,2.301
Vlissingen,linear,Trend,2.407,0.055,43.826,0,0.066
Vlissingen,linear,u_nodal,5.199,3.035,1.713,0.089,3.45
Vlissingen,linear,v_nodal,-12.725,2.965,-4.292,0,3.745
Vlissingen,broken_linear,Constant,-66.491,2.958,-22.478,0,3.006
Vlissingen,broken_linear,Trend,2.333,0.073,31.857,0,0.096
Vlissingen,broken_linear,+ trend 1993,0.564,0.372,1.516,0.132,0.327
Vlissingen,broken_linear,u_nodal,5.378,3.022,1.779,0.078,3.39
Vlissingen,broken_linear,v_nodal,-12.223,2.969,-4.117,0,3.787
Vlissingen,broken_squared,Constant,-64.824,3.775,-17.172,0,4.252
Vlissingen,broken_squared,Trend,2.377,0.09,26.472,0,0.122
Vlissingen,broken_squared,+ square_trend 1960,0.001,0.003,0.421,0.675,0.003
Vlissingen,broken_squared,u_nodal,5.228,3.045,1.717,0.088,3.449
Vlissingen,broken_squared,v_nodal,-12.606,2.988,-4.219,0,3.785
Hoek van Holland,linear,Constant,0.897,2.253,0.398,0.691,2.259
Hoek van Holland,linear,Trend,2.533,0.055,45.948,0,0.057
Hoek van Holland,linear,u_nodal,0.648,3.047,0.213,0.832,3.802
Hoek van Holland,linear,v_nodal,-8.818,2.977,-2.962,0.004,3.053
Hoek van Holland,broken_linear,Constant,-3.157,2.946,-1.071,0.286,3.228
