year;psmsl_id;name;height;surge;source;method;surge_anomaly;station
1895;22;Hoek van Holland;-200;NA;psmsl;NA;0;Hoek van Holland
1896;22;Hoek van Holland;-234;NA;psmsl;NA;0;Hoek van Holland
1897;22;Hoek van Holland;-226;NA;psmsl;NA;0;Hoek van Holland
1898;22;Hoek van Holland;-185;NA;psmsl;NA;0;Hoek van Holland
1899;22;Hoek van Holland;-157;NA;psmsl;NA;0;Hoek van Holland
1900;22;Hoek van Holland;-190;NA;psmsl;NA;0;Hoek van Holland
1901;22;Hoek van Holland;-195;NA;psmsl;NA;0;Hoek van Holland
1902;22;Hoek van Holland;-196;NA;psmsl;NA;0;Hoek van Holland
1903;22;Hoek van Holland;-106;NA;psmsl;NA;0;Hoek van Holland
1904;22;Hoek van Holland;-149;NA;psmsl;NA;0;Hoek van Holland
1905;22;Hoek van Holland;-166;NA;psmsl;NA;0;Hoek van Holland
1906;22;Hoek van Holland;-145;NA;psmsl;NA;0;Hoek van Holland
1907;22;Hoek van Holland;-171;NA;psmsl;NA;0;Hoek van Holland
1908;22;Hoek van Holland;-174;NA;psmsl;NA;0;Hoek van Holland
1909;22;Hoek van Holland;-118;NA;psmsl;NA;0;Hoek van Holland
1910;22;Hoek van Holland;-123;NA;psmsl;NA;0;Hoek van Holland
1911;22;Hoek van Holland;-145;NA;psmsl;NA;0;Hoek van Holland
1912;22;Hoek van Holland;-84;NA;psmsl;NA;0;Hoek van Holland
1913;22;Hoek van Holland;-105;NA;psmsl;NA;0;Hoek van Holland
1914;22;Hoek van Holland;-87;NA;psmsl;NA;0;Hoek van Holland
1915;22;Hoek van Holland;-116;NA;psmsl;NA;0;Hoek van Holland
1916;22;Hoek van Holland;-74;NA;psmsl;NA;0;Hoek van Holland
1917;22;Hoek van Holland;-163;NA;psmsl;NA;0;Hoek van Holland
1918;22;Hoek van Holland;-152;NA;psmsl;NA;0;Hoek van Holland
1919;22;Hoek van Holland;-155;NA;psmsl;NA;0;Hoek van Holland
1920;22;Hoek van Holland;-127;NA;psmsl;NA;0;Hoek van Holland
1921;22;Hoek van Holland;-131;NA;psmsl;NA;0;Hoek van Holland
1922;22;Hoek van Holland;-95;NA;psmsl;NA;0;Hoek van Holland
1923;22;Hoek van Holland;-95;NA;psmsl;NA;0;Hoek van Holland
1924;22;Hoek van Holland;-132;NA;psmsl;NA;0;Hoek van Holland
1925;22;Hoek van Holland;-67;NA;psmsl;NA;0;Hoek van Holland
1926;22;Hoek van Holland;-95;NA;psmsl;NA;0;Hoek van Holland
1927;22;Hoek van Holland;-93;NA;psmsl;NA;0;Hoek van Holland
1928;22;Hoek van Holland;-85;NA;psmsl;NA;0;Hoek van Holland
