# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 235         4.781       52.928      1.20        De Kooy     
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# DD        : Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord; 90=oost; 180=zuid; 270=west; 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Mean wind direction (in degrees) during the 10-minute period preceding the time of observation (360=north; 90=east; 180=south; 270=west; 0=calm 990=variable)
# FH        : Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Hourly mean wind speed (in 0.1 m/s)
  STN,YYYYMMDD,   HH,   DD,   FH
  235,20200104,   18,  310,   30
  235,20200104,   19,  300,   30
  235,20200104,   20,  330,   20
  235,20200104,   21,  150,   10
  235,20200104,   22,  190,   10
  235,20200104,   23,  270,   10
  235,20200104,   24,  320,   30
  235,20200105,    1,  240,   20
  235,20200105,    2,  180,   10
  235,20200105,    3,  250,   30
  235,20200105,    4,  230,   30
  235,20200105,    5,  220,   30
  235,20200105,    6,  230,   40
  235,20200105,    7,  220,   40
  235,20200105,    8,  220,   40
  235,20200105,    9,  230,   40
  235,20200105,   10,  230,   50
  235,20200105,   11,  240,   70
  235,20200105,   12,  240,   70
  235,20200105,   13,  240,   60
  235,20200105,   14,  240,   70
  235,20200105,   15,  240,   60
  235,20200105,   16,  240,   50
  235,20200105,   17,  240,   60
  235,20200105,   18,  240,   60
  235,20200105,   19,  230,   50
  235,20200105,   20,  230,   50
  235,20200105,   21,  230,   50
  235,20200105,   22,  230,   50
  235,20200105,   23,  230,   60
  235,20200105,   24,  230,   60
  235,20200106,    1,  230,   60
  235,20200106,    2,  220,   50
  235,20200106,    3,  210,   50
  235,20200106,    4,  210,   50
  235,20200106,    5,  210,   40
  235,20200106,    6,  220,   50
  235,20200106,    7,  200,   50
  235,20200106,    8,  210,   70
  235,20200106,    9,  210,   80
  235,20200106,   10,  210,   80
  235,20200106,   11,  210,   90
  235,20200106,   12,  200,   80
  235,20200106,   13,  210,   90
  235,20200106,   14,  190,   80
  235,20200106,   15,  180,   50
  235,20200106,   16,  180,   50
  235,20200106,   17,  190,   60
  235,20200106,   18,  210,   60
  235,20200106,   19,  210,   60
  235,20200106,   20,  210,   70
  235,20200106,   21,  210,   70
  235,20200106,   22,  230,   70
  235,20200106,   23,  240,   70
  235,20200106,   24,  260,   60
  235,20200107,    1,  270,   60
  235,20200107,    2,  270,   50
  235,20200107,    3,  270,   40
  235,20200107,    4,  270,   40
  235,20200107,    5,  270,   40
  235,20200107,    6,  270,   50
  235,20200107,    7,  230,   30
  235,20200107,    8,  220,   30
  235,20200107,    9,  220,   40
  235,20200107,   10,  210,   50
  235,20200107,   11,  220,   70
  235,20200107,   12,  210,   80
  235,20200107,   13,  210,   90
  235,20200107,   14,  210,   90
  235,20200107,   15,  200,  100
  235,20200107,   16,  200,  110
  235,20200107,   17,  200,  110
  235,20200107,   18,  200,  110
  235,20200107,   19,  200,  120
  235,20200107,   20,  200,  120
  235,20200107,   21,  210,  130
  235,20200107,   22,  200,  130
  235,20200107,   23,  200,  140
  235,20200107,   24,  210,  140
  235,20200108,    1,  210,  130
  235,20200108,    2,  220,  130
  235,20200108,    3,  220,  120
  235,20200108,    4,  220,  100
  235,20200108,    5,  220,   80
  235,20200108,    6,  220,   90
  235,20200108,    7,  230,   90
  235,20200108,    8,  230,   80
  235,20200108,    9,  240,   80
  235,20200108,   10,  240,   80
  235,20200108,   11,  250,   70
  235,20200108,   12,  250,   70
  235,20200108,   13,  260,   50
  235,20200108,   14,  260,   40
  235,20200108,   15,  250,   40
  235,20200108,   16,  270,   30
  235,20200108,   17,  260,   20
  235,20200108,   18,  250,   20
  235,20200108,   19,  260,   10
  235,20200108,   20,  240,   10
  235,20200108,   21,  210,   20
  235,20200108,   22,  270,   10
  235,20200108,   23,  280,   10
  235,20200108,   24,  140,   10
  235,20200109,    1,  130,   20
  235,20200109,    2,  120,   20
  235,20200109,    3,  140,   30
  235,20200109,    4,  150,   40
  235,20200109,    5,  170,   60
  235,20200109,    6,  200,   90
  235,20200109,    7,  200,  130
  235,20200109,    8,  210,  130
  235,20200109,    9,  210,  140
  235,20200109,   10,  210,  130
  235,20200109,   11,  210,  130
  235,20200109,   12,  220,  120
  235,20200109,   13,  220,  110
  235,20200109,   14,  220,  110
  235,20200109,   15,  220,  110
  235,20200109,   16,  220,  100
  235,20200109,   17,  230,   80
  235,20200109,   18,  220,   70
  235,20200109,   19,  220,   60
  235,20200109,   20,  210,   60
  235,20200109,   21,  210,   70
  235,20200109,   22,  210,  100
  235,20200109,   23,  220,   80
  235,20200109,   24,  220,   80
  235,20200110,    1,  220,   80
  235,20200110,    2,  230,   70
  235,20200110,    3,  260,   60
  235,20200110,    4,  240,   50
  235,20200110,    5,  260,   60
  235,20200110,    6,  290,   50
  235,20200110,    7,  320,   40
  235,20200110,    8,  330,   40
  235,20200110,    9,  340,   50
  235,20200110,   10,  340,   50
  235,20200110,   11,  340,   50
  235,20200110,   12,  320,   50
  235,20200110,   13,  340,   50
  235,20200110,   14,  330,   40
  235,20200110,   15,  330,   40
  235,20200110,   16,  320,   30
  235,20200110,   17,  310,   40
  235,20200110,   18,  290,   30
  235,20200110,   19,  280,   20
  235,20200110,   20,  270,   20
  235,20200110,   21,  210,   10
  235,20200110,   22,  210,   20
  235,20200110,   23,  230,   20
  235,20200110,   24,  220,   40
  235,20200111,    1,  230,   40
  235,20200111,    2,  230,   50
  235,20200111,    3,  220,   70
  235,20200111,    4,  220,   80
  235,20200111,    5,  210,   70
  235,20200111,    6,  210,   80
  235,20200111,    7,  210,   90
  235,20200111,    8,  210,  100
  235,20200111,    9,  210,  100
  235,20200111,   10,  210,  100
  235,20200111,   11,  210,  120
  235,20200111,   12,  210,  120
  235,20200111,   13,  210,  120
  235,20200111,   14,  210,  120
  235,20200111,   15,  210,  120
  235,20200111,   16,  210,  130
  235,20200111,   17,  210,  120
  235,20200111,   18,  210,  120
  235,20200111,   19,  210,  120
  235,20200111,   20,  210,  130
  235,20200111,   21,  210,  120
  235,20200111,   22,  220,  120
  235,20200111,   23,  220,  110
  235,20200111,   24,  210,  110
  235,20200112,    1,  220,  110
  235,20200112,    2,  210,  110
  235,20200112,    3,  210,  110
  235,20200112,    4,  210,  110
  235,20200112,    5,  210,  120
  235,20200112,    6,  210,  120
  235,20200112,    7,  210,  110
  235,20200112,    8,  210,  110
  235,20200112,    9,  210,  110
  235,20200112,   10,  210,  120
  235,20200112,   11,  220,  120
  235,20200112,   12,  210,  110
  235,20200112,   13,  220,  110
  235,20200112,   14,  230,   90
  235,20200112,   15,  240,   90
  235,20200112,   16,  270,  110
  235,20200112,   17,  280,  110
  235,20200112,   18,  270,   70
  235,20200112,   19,  260,   60
  235,20200112,   20,  270,   60
  235,20200112,   21,  250,   50
  235,20200112,   22,  240,   40
  235,20200112,   23,  250,   40
  235,20200112,   24,  220,   40
  235,20200113,    1,  200,   30
  235,20200113,    2,  190,   40
  235,20200113,    3,  210,   40
  235,20200113,    4,  220,   50
  235,20200113,    5,  210,   40
  235,20200113,    6,  210,   50
  235,20200113,    7,  210,   70
  235,20200113,    8,  200,   70
  235,20200113,    9,  200,   70
  235,20200113,   10,  200,   70
  235,20200113,   11,  200,   80
  235,20200113,   12,  180,   70
  235,20200113,   13,  180,   70
  235,20200113,   14,  180,   70
  235,20200113,   15,  180,   70
  235,20200113,   16,  170,   60
  235,20200113,   17,  170,   70
  235,20200113,   18,  170,   90
  235,20200113,   19,  170,  100
  235,20200113,   20,  180,  110
  235,20200113,   21,  180,  120
  235,20200113,   22,  180,  110
  235,20200113,   23,  180,  120
  235,20200113,   24,  190,  110
  235,20200114,    1,  200,  130
  235,20200114,    2,  200,  140
  235,20200114,    3,  200,  150
  235,20200114,    4,  240,  130
  235,20200114,    5,  220,   80
  235,20200114,    6,  210,   90
  235,20200114,    7,  220,   80
  235,20200114,    8,  210,   90
  235,20200114,    9,  210,  100
  235,20200114,   10,  210,  100
  235,20200114,   11,  210,  110
  235,20200114,   12,  210,  110
  235,20200114,   13,  200,  120
  235,20200114,   14,  200,  110
  235,20200114,   15,  190,  110
  235,20200114,   16,  190,  110
  235,20200114,   17,  200,  160
  235,20200114,   18,  200,  180
  235,20200114,   19,  200,  180
  235,20200114,   20,  200,  190
  235,20200114,   21,  210,  180
  235,20200114,   22,  210,  170
  235,20200114,   23,  210,  170
  235,20200114,   24,  210,  160
  235,20200115,    1,  210,  160
  235,20200115,    2,  210,  150
  235,20200115,    3,  200,  150
  235,20200115,    4,  210,  160
  235,20200115,    5,  210,  160
  235,20200115,    6,  210,  160
  235,20200115,    7,  210,  160
  235,20200115,    8,  210,  140
  235,20200115,    9,  210,  140
  235,20200115,   10,  200,  140
  235,20200115,   11,  210,  130
  235,20200115,   12,  210,  140
  235,20200115,   13,  280,  120
  235,20200115,   14,  270,   60
  235,20200115,   15,  260,   60
  235,20200115,   16,  230,   60
  235,20200115,   17,  220,   50
  235,20200115,   18,  220,   60
  235,20200115,   19,  230,   70
  235,20200115,   20,  230,   80
  235,20200115,   21,  230,   90
  235,20200115,   22,  230,   80
  235,20200115,   23,  230,   70
  235,20200115,   24,  230,   70
  235,20200116,    1,  220,   60
  235,20200116,    2,  210,   50
  235,20200116,    3,  210,   60
  235,20200116,    4,  210,   60
  235,20200116,    5,  210,   70
  235,20200116,    6,  210,   70
  235,20200116,    7,  200,   70
  235,20200116,    8,  180,   60
  235,20200116,    9,  170,   50
  235,20200116,   10,  160,   50
  235,20200116,   11,  170,   60
  235,20200116,   12,  170,   60
  235,20200116,   13,  160,   60
  235,20200116,   14,  160,   60
  235,20200116,   15,  160,   50
  235,20200116,   16,  160,   60
  235,20200116,   17,  150,   70
  235,20200116,   18,  160,   80
  235,20200116,   19,  160,   80
  235,20200116,   20,  170,   80
  235,20200116,   21,  170,   80
  235,20200116,   22,  160,   80
  235,20200116,   23,  180,   70
  235,20200116,   24,  170,   90
  235,20200117,    1,  170,   80
  235,20200117,    2,  170,   70
  235,20200117,    3,  180,   70
  235,20200117,    4,  170,   60
  235,20200117,    5,  170,   60
  235,20200117,    6,  170,   60
  235,20200117,    7,  180,   70
  235,20200117,    8,  210,   70
  235,20200117,    9,  210,   80
  235,20200117,   10,  200,   70
  235,20200117,   11,  200,   70
  235,20200117,   12,  200,   80
  235,20200117,   13,  210,   80
  235,20200117,   14,  210,   90
  235,20200117,   15,  210,   80
  235,20200117,   16,  210,   80
  235,20200117,   17,  220,   80
  235,20200117,   18,  220,   80
  235,20200117,   19,  260,   90
  235,20200117,   20,  270,  120
  235,20200117,   21,  270,  110
  235,20200117,   22,  250,   90
  235,20200117,   23,  250,  100
  235,20200117,   24,  250,   90
  235,20200118,    1,  250,   90
  235,20200118,    2,  250,   90
  235,20200118,    3,  240,   80
  235,20200118,    4,  250,   80
  235,20200118,    5,  250,   80
  235,20200118,    6,  260,   70
  235,20200118,    7,  260,   70
  235,20200118,    8,  270,   60
  235,20200118,    9,  280,   60
  235,20200118,   10,  290,   60
  235,20200118,   11,  280,   70
  235,20200118,   12,  300,   70
  235,20200118,   13,  280,   60
  235,20200118,   14,  300,   60
  235,20200118,   15,  280,   50
  235,20200118,   16,  300,   50
  235,20200118,   17,  310,   50
  235,20200118,   18,  310,   50
  235,20200118,   19,  320,   50
  235,20200118,   20,  310,   50
  235,20200118,   21,  320,   50
  235,20200118,   22,  310,   50
  235,20200118,   23,  320,   50
  235,20200118,   24,  320,   60
  235,20200119,    1,  330,   50
  235,20200119,    2,  310,   60
  235,20200119,    3,  330,   60
  235,20200119,    4,  340,   50
  235,20200119,    5,  350,   40
  235,20200119,    6,  360,   50
  235,20200119,    7,  350,   50
  235,20200119,    8,  360,   50
  235,20200119,    9,  360,   40
  235,20200119,   10,  360,   50
  235,20200119,   11,  360,   40
  235,20200119,   12,   10,   50
  235,20200119,   13,  350,   50
  235,20200119,   14,  350,   50
  235,20200119,   15,  350,   40
  235,20200119,   16,  350,   30
  235,20200119,   17,  340,   30
  235,20200119,   18,  340,   30
  235,20200119,   19,  340,   30
  235,20200119,   20,  330,   20
  235,20200119,   21,  310,   20
  235,20200119,   22,  290,   20
  235,20200119,   23,  310,   10
  235,20200119,   24,  300,   20
  235,20200120,    1,  280,   10
  235,20200120,    2,  250,   20
  235,20200120,    3,  230,   10
  235,20200120,    4,  300,   20
  235,20200120,    5,  280,   20
  235,20200120,    6,  290,   20
  235,20200120,    7,  240,   20
  235,20200120,    8,  270,   20
  235,20200120,    9,  250,   20
  235,20200120,   10,  240,   30
  235,20200120,   11,  230,   30
  235,20200120,   12,  230,   40
  235,20200120,   13,  230,   50
  235,20200120,   14,  250,   50
  235,20200120,   15,  240,   50
  235,20200120,   16,  240,   40
  235,20200120,   17,  240,   40
  235,20200120,   18,  240,   40
  235,20200120,   19,  240,   30
  235,20200120,   20,  230,   30
  235,20200120,   21,  210,   30
  235,20200120,   22,  190,   30
  235,20200120,   23,  210,   30
  235,20200120,   24,  220,   30
  235,20200121,    1,  190,   30
  235,20200121,    2,  190,   30
  235,20200121,    3,  200,   40
  235,20200121,    4,  220,   40
  235,20200121,    5,  210,   50
  235,20200121,    6,  200,   60
  235,20200121,    7,  220,   60
  235,20200121,    8,  230,   60
  235,20200121,    9,  240,   50
  235,20200121,   10,  250,   60
  235,20200121,   11,  250,   60
  235,20200121,   12,  260,   60
  235,20200121,   13,  250,   60
  235,20200121,   14,  260,   60
  235,20200121,   15,  270,   50
  235,20200121,   16,  230,   30
  235,20200121,   17,  260,   40
  235,20200121,   18,  250,   50
  235,20200121,   19,  270,   40
  235,20200121,   20,  240,   30
  235,20200121,   21,  280,   30
  235,20200121,   22,  270,   30
  235,20200121,   23,  250,   30
  235,20200121,   24,  240,   40
  235,20200122,    1,  280,   30
  235,20200122,    2,  260,   30
  235,20200122,    3,  280,   40
  235,20200122,    4,  280,   40
  235,20200122,    5,  280,   40
  235,20200122,    6,  300,   40
  235,20200122,    7,  300,   40
  235,20200122,    8,  310,   30
  235,20200122,    9,  330,   20
  235,20200122,   10,  360,   10
  235,20200122,   11,  330,   20
  235,20200122,   12,  310,   10
  235,20200122,   13,  300,   20
  235,20200122,   14,  310,   20
  235,20200122,   15,  300,   20
  235,20200122,   16,  280,   20
  235,20200122,   17,  320,   20
  235,20200122,   18,  290,   10
  235,20200122,   19,  290,   10
  235,20200122,   20,  180,   10
  235,20200122,   21,  180,   10
  235,20200122,   22,    0,   10
  235,20200122,   23,    0,    0
  235,20200122,   24,    0,    0
  235,20200123,    1,   70,   10
  235,20200123,    2,  130,   10
  235,20200123,    3,  120,   10
  235,20200123,    4,  110,   20
  235,20200123,    5,  130,   20
  235,20200123,    6,  130,   20
  235,20200123,    7,  170,   10
  235,20200123,    8,  150,   20
  235,20200123,    9,  140,   10
  235,20200123,   10,  150,   20
  235,20200123,   11,  160,   20
  235,20200123,   12,  180,   30
  235,20200123,   13,  170,   30
  235,20200123,   14,  160,   20
  235,20200123,   15,  200,   20
  235,20200123,   16,  220,   20
  235,20200123,   17,  160,   20
  235,20200123,   18,  160,   30
  235,20200123,   19,  160,   30
  235,20200123,   20,  170,   30
  235,20200123,   21,  160,   20
  235,20200123,   22,  170,   30
  235,20200123,   23,  170,   30
  235,20200123,   24,  180,   30
  235,20200124,    1,  170,   40
  235,20200124,    2,  180,   50
  235,20200124,    3,  200,   40
  235,20200124,    4,  190,   30
  235,20200124,    5,  190,   50
  235,20200124,    6,  170,   40
  235,20200124,    7,  180,   30
  235,20200124,    8,  190,   20
  235,20200124,    9,  180,   40
  235,20200124,   10,  190,   50
  235,20200124,   11,  210,   50
  235,20200124,   12,  190,   50
  235,20200124,   13,  190,   50
  235,20200124,   14,  210,   60
  235,20200124,   15,  210,   60
  235,20200124,   16,  210,   50
  235,20200124,   17,  210,   50
  235,20200124,   18,  210,   40
  235,20200124,   19,  210,   50
  235,20200124,   20,  210,   50
  235,20200124,   21,  220,   50
  235,20200124,   22,  200,   60
  235,20200124,   23,  190,   60
  235,20200124,   24,  200,   60
  235,20200125,    1,  190,   60
  235,20200125,    2,  180,   50
  235,20200125,    3,  200,   40
  235,20200125,    4,  210,   60
  235,20200125,    5,  180,   60
  235,20200125,    6,  180,   60
  235,20200125,    7,  190,   60
  235,20200125,    8,  190,   60
  235,20200125,    9,  180,   50
  235,20200125,   10,  180,   60
  235,20200125,   11,  190,   60
  235,20200125,   12,  190,   60
  235,20200125,   13,  190,   60
  235,20200125,   14,  180,   50
  235,20200125,   15,  180,   50
  235,20200125,   16,  180,   50
  235,20200125,   17,  180,   50
  235,20200125,   18,  170,   50
  235,20200125,   19,  180,   50
  235,20200125,   20,  180,   60
  235,20200125,   21,  180,   50
  235,20200125,   22,  180,   60
  235,20200125,   23,  170,   50
  235,20200125,   24,  170,   50
  235,20200126,    1,  160,   50
  235,20200126,    2,  160,   50
  235,20200126,    3,  160,   60
  235,20200126,    4,  170,   50
  235,20200126,    5,  180,   50
  235,20200126,    6,  180,   50
  235,20200126,    7,  180,   50
  235,20200126,    8,  180,   40
  235,20200126,    9,  180,   40
  235,20200126,   10,  190,   50
  235,20200126,   11,  200,   50
  235,20200126,   12,  200,   60
  235,20200126,   13,  190,   60
  235,20200126,   14,  180,   50
  235,20200126,   15,  180,   50
  235,20200126,   16,  190,   50
  235,20200126,   17,  210,   60
  235,20200126,   18,  200,   80
  235,20200126,   19,  200,   80
  235,20200126,   20,  190,   70
  235,20200126,   21,  190,   70
  235,20200126,   22,  180,   70
  235,20200126,   23,  180,   70
  235,20200126,   24,  180,   80
  235,20200127,    1,  200,  100
  235,20200127,    2,  210,  110
  235,20200127,    3,  210,  100
  235,20200127,    4,  220,   90
  235,20200127,    5,  220,   80
  235,20200127,    6,  210,   80
  235,20200127,    7,  210,   80
  235,20200127,    8,  210,   80
  235,20200127,    9,  210,   70
  235,20200127,   10,  210,   70
  235,20200127,   11,  210,   90
  235,20200127,   12,  210,  100
  235,20200127,   13,  210,   90
  235,20200127,   14,  210,   90
  235,20200127,   15,  210,   80
  235,20200127,   16,  200,   80
  235,20200127,   17,  200,   70
  235,20200127,   18,  190,   60
  235,20200127,   19,  160,   50
  235,20200127,   20,  160,   50
  235,20200127,   21,  160,   60
  235,20200127,   22,  170,   50
  235,20200127,   23,  210,   80
  235,20200127,   24,  210,   60
  235,20200128,    1,  250,   90
  235,20200128,    2,  250,   90
  235,20200128,    3,  230,   60
  235,20200128,    4,  240,   70
  235,20200128,    5,  210,   70
  235,20200128,    6,  200,   60
  235,20200128,    7,  200,   60
  235,20200128,    8,  230,   80
  235,20200128,    9,  270,   80
  235,20200128,   10,  280,  110
  235,20200128,   11,  280,  120
  235,20200128,   12,  270,  120
  235,20200128,   13,  270,  130
  235,20200128,   14,  270,  130
  235,20200128,   15,  270,  130
  235,20200128,   16,  270,  120
  235,20200128,   17,  270,  120
  235,20200128,   18,  260,  110
  235,20200128,   19,  250,  110
  235,20200128,   20,  250,  110
  235,20200128,   21,  250,  110
  235,20200128,   22,  260,  110
  235,20200128,   23,  260,  110
  235,20200128,   24,  260,  110
  235,20200129,    1,  270,  110
  235,20200129,    2,  270,  110
  235,20200129,    3,  270,  110
  235,20200129,    4,  270,  110
  235,20200129,    5,  270,  110
  235,20200129,    6,  260,  110
  235,20200129,    7,  260,  110
  235,20200129,    8,  270,  120
  235,20200129,    9,  280,  120
  235,20200129,   10,  280,  110
  235,20200129,   11,  270,  110
  235,20200129,   12,  280,  100
  235,20200129,   13,  270,  100
  235,20200129,   14,  280,   90
  235,20200129,   15,  280,   90
  235,20200129,   16,  270,   80
  235,20200129,   17,  270,   80
  235,20200129,   18,  250,   70
  235,20200129,   19,  250,   80
  235,20200129,   20,  240,   90
  235,20200129,   21,  230,   90
  235,20200129,   22,  230,  100
  235,20200129,   23,  230,  100
  235,20200129,   24,  240,  100
  235,20200130,    1,  250,  100
  235,20200130,    2,  250,  100
  235,20200130,    3,  250,  100
  235,20200130,    4,  240,   90
  235,20200130,    5,  240,   90
  235,20200130,    6,  240,   90
  235,20200130,    7,  230,   90
  235,20200130,    8,  230,   80
  235,20200130,    9,  220,   90
  235,20200130,   10,  210,  100
  235,20200130,   11,  210,   90
  235,20200130,   12,  220,   90
  235,20200130,   13,  210,   80
  235,20200130,   14,  200,   80
  235,20200130,   15,  200,   90
  235,20200130,   16,  200,  100
  235,20200130,   17,  210,  120
  235,20200130,   18,  210,  110
  235,20200130,   19,  220,  110
  235,20200130,   20,  230,  100
  235,20200130,   21,  240,   90
  235,20200130,   22,  240,   90
  235,20200130,   23,  240,  100
  235,20200130,   24,  240,  100
  235,20200131,    1,  260,   80
  235,20200131,    2,  260,   80
  235,20200131,    3,  260,   60
  235,20200131,    4,  260,   70
  235,20200131,    5,  240,   60
  235,20200131,    6,  240,   60
  235,20200131,    7,  230,   60
  235,20200131,    8,  220,   80
  235,20200131,    9,  230,   80
  235,20200131,   10,  220,   90
  235,20200131,   11,  220,  100
  235,20200131,   12,  220,  100
  235,20200131,   13,  220,  100
  235,20200131,   14,  220,  100
  235,20200131,   15,  220,  100
  235,20200131,   16,  220,  100
  235,20200131,   17,  220,  100
  235,20200131,   18,  220,  110
  235,20200131,   19,  220,  120
  235,20200131,   20,  220,  110
  235,20200131,   21,  220,  110
  235,20200131,   22,  220,  110
  235,20200131,   23,  220,  120
  235,20200131,   24,  220,  110
  235,20200201,    1,  220,  110
  235,20200201,    2,  220,  110
  235,20200201,    3,  220,  110
  235,20200201,    4,  220,  100
  235,20200201,    5,  220,  100
  235,20200201,    6,  220,  100
  235,20200201,    7,  220,   90
  235,20200201,    8,  230,   90
  235,20200201,    9,  220,   90
  235,20200201,   10,  230,   90
  235,20200201,   11,  240,  100
  235,20200201,   12,  240,  100
  235,20200201,   13,  240,   90
  235,20200201,   14,  240,  100
  235,20200201,   15,  240,  100
  235,20200201,   16,  230,   90
